,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C dens g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
0,1,,49.7974111434,50.092529401,0.4969304692,48.8667660812,50.2088209684,7,,0.0645068017,0.0588541667,0.0195929417,0.0400883965,0.0901698674,7,,0.032098586,0.0291254059,0.0096855426,0.0200812918,0.0452732273,7
1,2,,49.7974111434,50.092529401,0.4969304692,48.8667660812,50.2088209684,7,,0.0645068017,0.0588541667,0.0195929417,0.0400883965,0.0901698674,7,,0.032098586,0.0291254059,0.0096855426,0.0200812918,0.0452732273,7
2,3,,49.7974111434,50.092529401,0.4969304692,48.8667660812,50.2088209684,7,,0.0645068017,0.0588541667,0.0195929417,0.0400883965,0.0901698674,7,,0.032098586,0.0291254059,0.0096855426,0.0200812918,0.0452732273,7
3,4,,49.7974111434,50.092529401,0.4969304692,48.8667660812,50.2088209684,7,,0.0645068017,0.0588541667,0.0195929417,0.0400883965,0.0901698674,7,,0.032098586,0.0291254059,0.0096855426,0.0200812918,0.0452732273,7
4,5,,49.7974111434,50.092529401,0.4969304692,48.8667660812,50.2088209684,7,,0.0645068017,0.0588541667,0.0195929417,0.0400883965,0.0901698674,7,,0.032098586,0.0291254059,0.0096855426,0.0200812918,0.0452732273,7
5,6,,49.7841253475,50.092529401,0.4889264854,48.9067986991,50.2088209684,7,,0.0785472372,0.0725757576,0.032006807,0.0400883965,0.1420833333,7,,0.0391454155,0.0359500024,0.0161487097,0.0200812918,0.0712419515,7
6,7,,49.7841253475,50.092529401,0.4889264854,48.9067986991,50.2088209684,7,,0.0785472372,0.0725757576,0.032006807,0.0400883965,0.1420833333,7,,0.0391454155,0.0359500024,0.0161487097,0.0200812918,0.0712419515,7
7,8,,49.7579992447,49.9096466817,0.4743696134,48.9067986991,50.2088209684,7,,0.0818991667,0.0725757576,0.0283247353,0.0588541667,0.1420833333,7,,0.0408078781,0.0359500024,0.0143588317,0.0291254059,0.0712419515,7
8,9,,49.4281006436,49.9096466817,1.0932263122,47.1781250759,50.2088209684,7,,0.0810328827,0.0725757576,0.0292254221,0.0527901786,0.1420833333,7,,0.0402050225,0.0359500024,0.0150051123,0.0249054165,0.0712419515,7
9,10,,49.4103757296,50.0137733685,1.1964670802,47.1781250759,50.2088209684,6,,0.0824424035,0.0730295693,0.0317531363,0.0527901786,0.1420833333,6,,0.0409141925,0.0361730147,0.0163082657,0.0249054165,0.0712419515,6
10,11,,49.3207024612,49.7267639623,1.0781725439,47.1781250759,50.2088209684,7,,0.0873410335,0.0870154102,0.030602174,0.0527901786,0.1420833333,7,,0.0432919572,0.0432699477,0.0158070727,0.0249054165,0.0712419515,7
11,12,,49.3234705596,49.7267639623,1.0806514924,47.1781250759,50.2088209684,7,,0.0837497637,0.0870154102,0.0238338706,0.0527901786,0.1169444444,7,,0.041494497,0.0432699477,0.0124601466,0.0249054165,0.0586597305,7
12,13,,49.4260895346,49.7267639623,1.0685282096,47.1781250759,50.2088209684,7,,0.0868267884,0.0901698674,0.0232451476,0.0527901786,0.1169444444,7,,0.0430939834,0.0452732273,0.0121355268,0.0249054165,0.0586597305,7
13,14,,49.4260895346,49.7267639623,1.0685282096,47.1781250759,50.2088209684,7,,0.0868267884,0.0901698674,0.0232451476,0.0527901786,0.1169444444,7,,0.0430939834,0.0452732273,0.0121355268,0.0249054165,0.0586597305,7
14,15,,49.4260895346,49.7267639623,1.0685282096,47.1781250759,50.2088209684,7,,0.0868267884,0.0901698674,0.0232451476,0.0527901786,0.1169444444,7,,0.0430939834,0.0452732273,0.0121355268,0.0249054165,0.0586597305,7
15,16,,47.1244565481,49.4113467494,5.7916280643,34.2006459917,50.2602822778,7,,0.0994386468,0.0921974776,0.030679119,0.0606287005,0.1388888889,7,,0.0470315993,0.0457531195,0.0164176612,0.0297368306,0.0661769146,7
16,17,,47.1244565481,49.4113467494,5.7916280643,34.2006459917,50.2602822778,7,,0.0994386468,0.0921974776,0.030679119,0.0606287005,0.1388888889,7,,0.0470315993,0.0457531195,0.0164176612,0.0297368306,0.0661769146,7
17,18,,46.9715348801,49.4113467494,5.7463461679,34.2006459917,50.2602822778,7,,0.097328342,0.0921974776,0.0341098806,0.0458565669,0.1388888889,7,,0.0459264241,0.0457531195,0.0179635252,0.0220006036,0.0661769146,7
18,19,,46.890903625,49.0607127382,5.70672914,34.2006459917,50.2602822778,7,,0.0952876296,0.0892020303,0.0348864866,0.0458565669,0.1388888889,7,,0.044850896,0.0382244233,0.0181994638,0.0220006036,0.0661769146,7
19,20,,46.890903625,49.0607127382,5.70672914,34.2006459917,50.2602822778,7,,0.0952876296,0.0892020303,0.0348864866,0.0458565669,0.1388888889,7,,0.044850896,0.0382244233,0.0181994638,0.0220006036,0.0661769146,7
20,21,,46.8515903029,49.0607127382,5.6886417404,34.2006459917,50.2602822778,7,,0.0924740372,0.0892020303,0.0384659325,0.0458565669,0.1388888889,7,,0.0434475041,0.0382244233,0.0197352228,0.0220006036,0.0661769146,7
21,22,,46.6924481115,49.0607127382,5.5921527923,34.2006459917,50.2005635443,7,,0.0900339323,0.0892020303,0.036029856,0.0458565669,0.1388888889,7,,0.0420387432,0.0382244233,0.0181289057,0.0220006036,0.0655083352,7
