"depth" "bdens" "c_kg_m3"
0.01 0.022 11.66
0.03 0.019 10.07
0.05 0.021 11.13
0.07 0.022 11.66
0.09 0.026 13.78
0.11 0.029 15.37
0.13 0.034 18.02
0.15 0.038 20.14
0.17 0.037 19.61
0.19 0.042 22.26
0.21 0.045 23.85
0.23 0.048 25.44
0.25 0.051 27.03
0.27 0.051 27.03
0.29 0.049 25.97
0.3 0.06389818 32.943614053156
0.4 0.04322188 21.828199102008
0.5 0.04395137 21.752205468961
0.6 0.04668693 23.82321989268
0.7 0.03829787 19.738331559726
0.8 0.0293096 14.46643306272
0.9 0.03706687 18.248027514374
1 0.04522796 22.42275618512
1.1 0.04453495 23.13561259433
1.2 0.06173252 36.514285546588
1.3 0.0893617 52.180977481
1.4 0.06255319 33.236492783123
1.5 0.0910362 50.84298030678
1.6 0.08534954 47.838724428344
1.7 0.05601389 30.380415959581
1.8 0.05949848 32.270363143192
1.9 0.05179331 28.091287745299
2 0.04778116 26.00544581334
2.1 0.04285714 23.145761314092
2.2 0.03873556 20.856612237048
2.3 0.03196049 17.816308033471
2.4 0.04231003 24.379817790552
2.5 0.05797112 33.095729799336
2.6 0.05306991 30.015396451602
2.7 0.04804458 26.985501929454
2.8 0.04455319 24.924226234897
2.9 0.03993921 22.253185246644
3 0.03829787 21.087010200711
3.1 0.03773556 20.327727307284
3.2 0.03702128 19.5017922188
3.3 0.03702128 18.8808528
3.4 0.04024316 20.12158
