,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C Dens. g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
0,1,,40.8819335914,42.169,6.2355560729,22.0710715455,48.695,27,,0.0872092686,0.0805669224,0.0627623309,0.0083061748,0.2807345061,27,,0.0341330834,0.0297304489,0.0243431386,0.0035928359,0.1246096252,27
1,2,,40.8819335914,42.169,6.2355560729,22.0710715455,48.695,27,,0.0872092686,0.0805669224,0.0627623309,0.0083061748,0.2807345061,27,,0.0341330834,0.0297304489,0.0243431386,0.0035928359,0.1246096252,27
2,3,,40.8819335914,42.169,6.2355560729,22.0710715455,48.695,27,,0.0872092686,0.0805669224,0.0627623309,0.0083061748,0.2807345061,27,,0.0341330834,0.0297304489,0.0243431386,0.0035928359,0.1246096252,27
3,4,,40.8819335914,42.169,6.2355560729,22.0710715455,48.695,27,,0.0872092686,0.0805669224,0.0627623309,0.0083061748,0.2807345061,27,,0.0341330834,0.0297304489,0.0243431386,0.0035928359,0.1246096252,27
4,5,,40.8819335914,42.169,6.2355560729,22.0710715455,48.695,27,,0.0872092686,0.0805669224,0.0627623309,0.0083061748,0.2807345061,27,,0.0341330834,0.0297304489,0.0243431386,0.0035928359,0.1246096252,27
5,6,,40.8757163105,42.169,6.2349826522,22.0710715455,48.695,27,,0.0869253315,0.0805669224,0.062852887,0.0083061748,0.2807345061,27,,0.0340112269,0.0283559511,0.0243742398,0.0035928359,0.1246096252,27
6,7,,40.8757163105,42.169,6.2349826522,22.0710715455,48.695,27,,0.0869253315,0.0805669224,0.062852887,0.0083061748,0.2807345061,27,,0.0340112269,0.0283559511,0.0243742398,0.0035928359,0.1246096252,27
7,8,,39.9412921567,41.938,6.7939145305,22.0710715455,48.695,27,,0.1031350249,0.0831146559,0.0754829919,0.0083061748,0.2807345061,27,,0.0384701276,0.0334270486,0.0262385326,0.0035928359,0.1246096252,27
8,9,,38.8113736591,40.564,7.1113064869,22.0710715455,46.6768888476,27,,0.1062552464,0.0866515152,0.0721229518,0.0083061748,0.2710886773,27,,0.0378651159,0.0365400774,0.0219892895,0.0035928359,0.0917282596,27
9,10,,38.2226744493,40.2179955658,7.2763368688,22.0710715455,46.6768888476,27,,0.1162093511,0.0893107143,0.079110926,0.0083061748,0.2724681779,27,,0.040547188,0.0372389875,0.0239126977,0.0035928359,0.0917282596,27
10,11,,33.0191443799,32.0965338974,6.5698680388,20.3537151434,45.4356348363,27,,0.2044533553,0.1955392107,0.0997638427,0.0358449971,0.4557500051,27,,0.0630008324,0.0626074857,0.0253858019,0.016286402,0.1045823321,27
11,12,,32.4334613504,31.7467669487,5.8549835503,20.3537151434,45.4356348363,26,,0.220103704,0.2278746632,0.0936383064,0.0358449971,0.4557500051,26,,0.0676027476,0.0728399528,0.0234776769,0.016286402,0.1045823321,26
12,13,,31.5848005572,31.3095722878,6.6157230964,15.6021456414,45.4356348363,26,,0.2246591013,0.2278746632,0.0903091643,0.0358449971,0.4557500051,26,,0.0674772944,0.0728399528,0.0236551547,0.016286402,0.1045823321,26
13,14,,31.1258473099,31.3095722878,6.0018381086,15.6021456414,41.3486721427,26,,0.2301077185,0.2278746632,0.0823878918,0.063944797,0.4557500051,26,,0.0691382246,0.0728399528,0.0213176289,0.0264403244,0.1045823321,26
14,15,,31.1258473099,31.3095722878,6.0018381086,15.6021456414,41.3486721427,26,,0.2301077185,0.2278746632,0.0823878918,0.063944797,0.4557500051,26,,0.0691382246,0.0728399528,0.0213176289,0.0264403244,0.1045823321,26
15,16,,31.1370515268,31.3095722878,6.0219237101,15.6021456414,41.639981781,26,,0.2318299123,0.2278746632,0.0791811642,0.1087218345,0.4557500051,26,,0.0698625103,0.0728399528,0.0200936716,0.0338521643,0.1045823321,26
16,17,,29.5763745783,31.2144686837,8.3657391919,3.997,41.639981781,22,,0.2668659667,0.223294176,0.2083066433,0.1087218345,1.1232535597,22,,0.0656846255,0.0641643546,0.0195601436,0.0338521643,0.1034123896,22
