,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C dens g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
0,1,,17.6804936506,16.8506760927,7.9212240796,5.5838695763,31.7953610922,9,,0.1817431765,0.1160249433,0.1872430141,0.05985625,0.59335,9,,0.0216386611,0.0183787703,0.0086130505,0.0109709938,0.0379130051,9
1,2,,17.3710533032,16.8506760927,8.4870332789,2.7989064494,31.7953610922,9,,0.1950542876,0.1160249433,0.2213193209,0.05985625,0.71315,9,,0.0201751624,0.0183787703,0.0074575708,0.0109709938,0.0379130051,9
2,3,,17.3710533032,16.8506760927,8.4870332789,2.7989064494,31.7953610922,9,,0.1950542876,0.1160249433,0.2213193209,0.05985625,0.71315,9,,0.0201751624,0.0183787703,0.0074575708,0.0109709938,0.0379130051,9
3,4,,17.3710533032,16.8506760927,8.4870332789,2.7989064494,31.7953610922,9,,0.1950542876,0.1160249433,0.2213193209,0.05985625,0.71315,9,,0.0201751624,0.0183787703,0.0074575708,0.0109709938,0.0379130051,9
4,5,,15.5836833424,15.7090314447,6.5401386654,2.7989064494,23.6626010867,9,,0.2183157625,0.1256203704,0.2162777607,0.0651071429,0.71315,9,,0.0227594622,0.0183787703,0.0104437947,0.0109709938,0.0422902087,9
5,6,,15.5836833424,15.7090314447,6.5401386654,2.7989064494,23.6626010867,9,,0.2183157625,0.1256203704,0.2162777607,0.0651071429,0.71315,9,,0.0227594622,0.0183787703,0.0104437947,0.0109709938,0.0422902087,9
6,7,,15.5836833424,15.7090314447,6.5401386654,2.7989064494,23.6626010867,9,,0.2183157625,0.1256203704,0.2162777607,0.0651071429,0.71315,9,,0.0227594622,0.0183787703,0.0104437947,0.0109709938,0.0422902087,9
7,8,,13.8885825163,13.9186953818,7.2722626426,2.7989064494,23.6626010867,9,,0.3625198042,0.2692095238,0.2950607933,0.0685208333,0.7476944444,9,,0.0337255222,0.0236832757,0.021452014,0.0160179418,0.0821497223,9
8,9,,12.3547713807,13.9186953818,7.1449826797,2.7989064494,23.3767469344,9,,0.4532818152,0.2692095238,0.3817090941,0.0685208333,1.1294140016,9,,0.0343897769,0.0263512855,0.0207729143,0.0160179418,0.0821497223,9
9,10,,7.2671231604,4.3473995067,5.5815102467,2.2910663886,16.2052682795,9,,0.7137496943,0.7312740169,0.3461528441,0.162609375,1.192166522,9,,0.0374844528,0.0335499484,0.0186918261,0.0199604013,0.0821497223,9
10,11,,5.9186641823,4.2457303191,4.7062375517,2.1260767718,16.2052682795,9,,0.8389286061,0.833335282,0.3445913084,0.162609375,1.2756344477,9,,0.0375124002,0.0335499484,0.0179468167,0.0250687962,0.0821497223,9
11,12,,5.9186641823,4.2457303191,4.7062375517,2.1260767718,16.2052682795,9,,0.8389286061,0.833335282,0.3445913084,0.162609375,1.2756344477,9,,0.0375124002,0.0335499484,0.0179468167,0.0250687962,0.0821497223,9
12,13,,4.5326072951,3.7307562948,2.7127409793,2.1260767718,10.9870713818,9,,0.9073834672,0.833335282,0.2382200014,0.5766388889,1.2756344477,9,,0.0378124258,0.0335499484,0.0177584901,0.0250687962,0.0821497223,9
13,14,,4.1893150527,3.7211959606,2.6642230546,2.1260767718,10.9870713818,9,,0.9501616212,0.9015904762,0.2372083885,0.5766388889,1.2756344477,9,,0.0366511965,0.0335499484,0.0175215099,0.0250687962,0.0821497223,9
14,15,,3.142267764,3.1538941246,0.8996322176,2.1260767718,4.3473995067,9,,1.0335004621,1.1162774031,0.2691124981,0.5766388889,1.3325260242,9,,0.0304332433,0.0290515159,0.0037787021,0.0250687962,0.0353811687,9
15,16,,3.600685314,3.1538941246,1.985869695,2.1260767718,8.4731574567,9,,1.0063513495,1.1162774031,0.3270517156,0.332296875,1.3325260242,9,,0.0307762701,0.0290515159,0.0033462307,0.0271209677,0.0353811687,9
16,17,,3.600685314,3.1538941246,1.985869695,2.1260767718,8.4731574567,9,,1.0063513495,1.1162774031,0.3270517156,0.332296875,1.3325260242,9,,0.0307762701,0.0290515159,0.0033462307,0.0271209677,0.0353811687,9
17,18,,3.600685314,3.1538941246,1.985869695,2.1260767718,8.4731574567,9,,1.0063513495,1.1162774031,0.3270517156,0.332296875,1.3325260242,9,,0.0307762701,0.0290515159,0.0033462307,0.0271209677,0.0353811687,9
18,19,,3.600685314,3.1538941246,1.985869695,2.1260767718,8.4731574567,9,,1.0063513495,1.1162774031,0.3270517156,0.332296875,1.3325260242,9,,0.0307762701,0.0290515159,0.0033462307,0.0271209677,0.0353811687,9
19,20,,3.600685314,3.1538941246,1.985869695,2.1260767718,8.4731574567,9,,1.0063513495,1.1162774031,0.3270517156,0.332296875,1.3325260242,9,,0.0307762701,0.0290515159,0.0033462307,0.0271209677,0.0353811687,9
20,21,,4.2170374589,3.1538941246,2.8302584533,2.1260767718,9.6549750207,9,,0.9412738674,0.9869324335,0.3369601588,0.332296875,1.3325260242,9,,0.0321006329,0.0289003774,0.0086232796,0.0259896183,0.0536176969,9
21,22,,3.452995402,2.6333736145,2.4476850781,1.3765160612,9.6549750207,9,,1.0312013469,0.9869324335,0.2893175415,0.5553375,1.5395790263,9,,0.0305966881,0.0273133265,0.0097673758,0.0211925526,0.0536176969,9
