#/data/users/hadea/PAGE21_sites/obs/Merbleue/ON-EPeatland-MerBleue/ON-EPeatland-MerBleue_Eco-Site_Characteristicsdepth bdens c_kg_m3
NACP-BADM_Ameriflux_Biological_Data_CAMer_ON-EPeatland-MerBleue.xls
min_depth max_depth thick bd_g_cm3 c_kg_m3
0 0.1 0.1 0.05481 24.9862347
0.1 0.2 0.1 0.0583 25.788422
0.2 0.3 0.1 0.08966 43.6188428333333
0.3 0.4 0.1 0.10841 54.47223065
0.4 0.5 0.1 0.10004 51.7216804
0.5 0.6 0.1 0.08994 46.8897693
0.6 0.7 0.1 0.08286 43.1468592
0.7 0.8 0.1 0.08453 45.2122793333333
0.8 0.9 0.1 0.08259 43.3721385
0.9 1 0.1 0.08413 42.3973135
1 1.5 0.5 0.075297777777778 37.1112941296296
1.5 2 0.5 0.079169230769231 39.9809817209073
2 2.5 0.5 0.091033333333333 45.2606062393163
2.5 3 0.5 0.082192307692308 39.2793218626726
3 3.5 0.5 0.07765 37.7785169230769
3.5 4 0.5 0.079446153846154 8.4794627
4 4.5 0.5 0.083016666666667 37.1112941296296
4.5 5 0.5 0.086753846153846 39.9809817209073
