"Barren ground: These sites have vegetation cover <5%. Located mainly in slopes and higher altitudes. Includes colluvium, tills, glaciofluvial deposits and moraines.",,,,,,,,,,,,,,,,,,,,,,
,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C Dens. g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
0,1,,0.0859775508,0.0087047736,0.1248511465,0,0.3972171174,17,,1.1043619259,1.4895544258,0.7539241183,0.0851854167,2.0836632517,17,,0.022158487,0.0101119906,0.0199080051,0,0.060369551,17
1,2,,0.0790227109,0.007343955,0.1332547712,0,0.3972171174,14,,1.2126932248,1.5859377455,0.789803552,0.0851854167,2.0836632517,14,,0.0168811144,0.0090390252,0.0172183593,0,0.054215904,14
2,3,,0.0588677601,0.0061872218,0.1143483095,0,0.3972171174,13,,1.2963708214,1.6359073451,0.7547026098,0.0851854167,2.0836632517,13,,0.0149034898,0.0085858766,0.016182122,0,0.054215904,13
3,4,,0.0489937081,0.0074594105,0.1128293856,0,0.3972171174,12,,1.3340609121,1.5859377455,0.7052137993,0.0851854167,2.0836632517,12,,0.0117701311,0.0079992785,0.0115310087,0,0.0364531861,12
4,5,,0.0160678027,0.0059740024,0.0268745478,0,0.0853042373,12,,1.5285075826,1.6937083784,0.6278735907,0.1459515873,2.1924949175,12,,0.0096095427,0.0075647287,0.009221826,0,0.0364531861,12
5,6,,0.0117172177,0.0059740024,0.0233129857,0,0.0853042373,12,,1.6880130649,1.7377159833,0.4673148926,0.4273314815,2.1924949175,12,,0.0098972134,0.0075647287,0.0092408132,0,0.0364531861,12
6,7,,0.0049496215,0.0057607829,0.0027554906,0,0.0087047736,11,,1.8061021394,1.7620186905,0.2629209162,1.3795415733,2.1924949175,11,,0.0073469492,0.0074126803,0.0042418483,0,0.0137480934,11
7,8,,0.0049496215,0.0057607829,0.0027554906,0,0.0087047736,11,,1.8061021394,1.7620186905,0.2629209162,1.3795415733,2.1924949175,11,,0.0073469492,0.0074126803,0.0042418483,0,0.0137480934,11
8,9,,0.0049496215,0.0057607829,0.0027554906,0,0.0087047736,11,,1.8061021394,1.7620186905,0.2629209162,1.3795415733,2.1924949175,11,,0.0073469492,0.0074126803,0.0042418483,0,0.0137480934,11
9,10,,0.0053515979,0.0061872218,0.0027979124,0,0.0087047736,9,,1.8639649384,1.8010242829,0.2400165657,1.4895544258,2.1924949175,9,,0.0083217161,0.0082797077,0.0044564244,0,0.0137480934,9
10,11,,0.0047459661,0.0053776085,0.0027076939,0,0.0087047736,11,,1.885049355,1.9170305525,0.2003604861,1.5763461871,2.1859266183,11,,0.0075303663,0.0074242506,0.0044989106,0,0.0137480934,11
11,12,,0.0045585766,0.0048857987,0.0027779576,0,0.0087047736,10,,1.867552553,1.8590274177,0.2021462769,1.5763461871,2.1859266183,10,,0.0070796104,0.0069003758,0.0044727827,0,0.0137480934,10
12,13,,0.0045777292,0.0048857987,0.0027570625,0,0.0087047736,10,,1.855547723,1.8590274177,0.1884603612,1.5763461871,2.1859266183,10,,0.0070784262,0.0069003758,0.0044738828,0,0.0137480934,10
13,14,,0.0041191687,0.004393989,0.0024871557,0,0.0077124993,9,,1.8799522095,1.9170305525,0.1823642178,1.5763461871,2.1859266183,9,,0.0063373521,0.0063765011,0.0040421756,0,0.0123126684,9
14,15,,0.0047962332,0.0048857987,0.0020482884,0.0018203681,0.0077124993,10,,1.8777883172,1.916424248,0.1689159428,1.5763461871,2.1859266183,10,,0.0076862301,0.0069003758,0.0037793105,0.002119605,0.0138258985,10
