,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C Dens. g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
0,1,,11.7010487583,11.8850573766,6.9665422626,2.1600452155,21.0787119044,10,,0.4325762917,0.3512596232,0.2427802184,0.1090909091,0.7375,10,,0.0430821686,0.0357832539,0.0386171977,0.0145576769,0.148327597,10
1,2,,10.4657136198,8.9420492575,7.0879463253,2.1600452155,21.0787119044,8,,0.4094703646,0.3512596232,0.2446023757,0.1090909091,0.72,8,,0.0301662291,0.0288617482,0.0119925044,0.0145576769,0.046224,8
2,3,,8.6999972765,5.8130446223,6.9265869617,2.1600452155,21.0787119044,6,,0.4554257639,0.5241306305,0.2695109296,0.1090909091,0.72,6,,0.0266633548,0.0226498064,0.0116860148,0.0145576769,0.046224,6
3,4,,6.2242543509,5.2060892445,3.7419561624,2.1600452155,12.3060162382,5,,0.5246927349,0.6670753479,0.2341171224,0.18125,0.72,5,,0.0273970341,0.0223046544,0.0129099395,0.0145576769,0.046224,5
4,5,,6.2242543509,5.2060892445,3.7419561624,2.1600452155,12.3060162382,5,,0.5246927349,0.6670753479,0.2341171224,0.18125,0.72,5,,0.0273970341,0.0223046544,0.0129099395,0.0145576769,0.046224,5
5,6,,3.6130638791,3.594583136,1.7393050123,2.057,5.2060892445,4,,0.6955534186,0.6705138806,0.2786430471,0.3811859131,1.06,4,,0.022565179,0.0204872505,0.0086442983,0.0145576769,0.0347285379,4
6,7,,3.6130638791,3.594583136,1.7393050123,2.057,5.2060892445,4,,0.6955534186,0.6705138806,0.2786430471,0.3811859131,1.06,4,,0.022565179,0.0204872505,0.0086442983,0.0145576769,0.0347285379,4
7,8,,3.6130638791,3.594583136,1.7393050123,2.057,5.2060892445,4,,0.6955534186,0.6705138806,0.2786430471,0.3811859131,1.06,4,,0.022565179,0.0204872505,0.0086442983,0.0145576769,0.0347285379,4
8,9,,3.6130638791,3.594583136,1.7393050123,2.057,5.2060892445,4,,0.6955534186,0.6705138806,0.2786430471,0.3811859131,1.06,4,,0.022565179,0.0204872505,0.0086442983,0.0145576769,0.0347285379,4
9,10,,3.6130638791,3.594583136,1.7393050123,2.057,5.2060892445,4,,0.6955534186,0.6705138806,0.2786430471,0.3811859131,1.06,4,,0.022565179,0.0204872505,0.0086442983,0.0145576769,0.0347285379,4
10,11,,1.6160642768,1.4933977218,1.2943351572,0.4141277178,3.0633339458,4,,1.1381192376,1.0197003751,0.4594096146,0.7761259571,1.7369502431,4,,0.0143367322,0.0131390443,0.0080911914,0.0071931924,0.0238756478,4
11,12,,1.6160642768,1.4933977218,1.2943351572,0.4141277178,3.0633339458,4,,1.1381192376,1.0197003751,0.4594096146,0.7761259571,1.7369502431,4,,0.0143367322,0.0131390443,0.0080911914,0.0071931924,0.0238756478,4
12,13,,1.6160642768,1.4933977218,1.2943351572,0.4141277178,3.0633339458,4,,1.1381192376,1.0197003751,0.4594096146,0.7761259571,1.7369502431,4,,0.0143367322,0.0131390443,0.0080911914,0.0071931924,0.0238756478,4
13,14,,1.6160642768,1.4933977218,1.2943351572,0.4141277178,3.0633339458,4,,1.1381192376,1.0197003751,0.4594096146,0.7761259571,1.7369502431,4,,0.0143367322,0.0131390443,0.0080911914,0.0071931924,0.0238756478,4
14,15,,1.6160642768,1.4933977218,1.2943351572,0.4141277178,3.0633339458,4,,1.1381192376,1.0197003751,0.4594096146,0.7761259571,1.7369502431,4,,0.0143367322,0.0131390443,0.0080911914,0.0071931924,0.0238756478,4
15,16,,1.6150642768,1.4913977218,1.2953417839,0.4141277178,3.0633339458,4,,1.1431192376,1.0297003751,0.4612832869,0.7761259571,1.7369502431,4,,0.0143559322,0.0131774443,0.0080714118,0.0071931924,0.0238756478,4
16,17,,1.6150642768,1.4913977218,1.2953417839,0.4141277178,3.0633339458,4,,1.1431192376,1.0297003751,0.4612832869,0.7761259571,1.7369502431,4,,0.0143559322,0.0131774443,0.0080714118,0.0071931924,0.0238756478,4
17,18,,1.6150642768,1.4913977218,1.2953417839,0.4141277178,3.0633339458,4,,1.1431192376,1.0297003751,0.4612832869,0.7761259571,1.7369502431,4,,0.0143559322,0.0131774443,0.0080714118,0.0071931924,0.0238756478,4
18,19,,1.6150642768,1.4913977218,1.2953417839,0.4141277178,3.0633339458,4,,1.1431192376,1.0297003751,0.4612832869,0.7761259571,1.7369502431,4,,0.0143559322,0.0131774443,0.0080714118,0.0071931924,0.0238756478,4
19,20,,1.6150642768,1.4913977218,1.2953417839,0.4141277178,3.0633339458,4,,1.1431192376,1.0297003751,0.4612832869,0.7761259571,1.7369502431,4,,0.0143559322,0.0131774443,0.0080714118,0.0071931924,0.0238756478,4
20,21,,0.7206391817,0.5935548951,0.6072593939,0.1261547673,1.5692921693,4,,1.4235672992,1.360706025,0.2918715231,1.1474874909,1.825369656,4,,0.0091206162,0.0080861213,0.0065403494,0.0023027908,0.0180074313,4
21,22,,0.7206391817,0.5935548951,0.6072593939,0.1261547673,1.5692921693,4,,1.4235672992,1.360706025,0.2918715231,1.1474874909,1.825369656,4,,0.0091206162,0.0080861213,0.0065403494,0.0023027908,0.0180074313,4
22,23,,0.7206391817,0.5935548951,0.6072593939,0.1261547673,1.5692921693,4,,1.4235672992,1.360706025,0.2918715231,1.1474874909,1.825369656,4,,0.0091206162,0.0080861213,0.0065403494,0.0023027908,0.0180074313,4
23,24,,0.7206391817,0.5935548951,0.6072593939,0.1261547673,1.5692921693,4,,1.4235672992,1.360706025,0.2918715231,1.1474874909,1.825369656,4,,0.0091206162,0.0080861213,0.0065403494,0.0023027908,0.0180074313,4
24,25,,0.7206391817,0.5935548951,0.6072593939,0.1261547673,1.5692921693,4,,1.4235672992,1.360706025,0.2918715231,1.1474874909,1.825369656,4,,0.0091206162,0.0080861213,0.0065403494,0.0023027908,0.0180074313,4
25,26,,0.7293891817,0.6110548951,0.6048046301,0.1261547673,1.5692921693,4,,1.4260672992,1.365706025,0.2903851534,1.1474874909,1.825369656,4,,0.0092488662,0.0083426213,0.0065024269,0.0023027908,0.0180074313,4
26,27,,0.7293891817,0.6110548951,0.6048046301,0.1261547673,1.5692921693,4,,1.4260672992,1.365706025,0.2903851534,1.1474874909,1.825369656,4,,0.0092488662,0.0083426213,0.0065024269,0.0023027908,0.0180074313,4
27,28,,0.7293891817,0.6110548951,0.6048046301,0.1261547673,1.5692921693,4,,1.4260672992,1.365706025,0.2903851534,1.1474874909,1.825369656,4,,0.0092488662,0.0083426213,0.0065024269,0.0023027908,0.0180074313,4
28,29,,0.7293891817,0.6110548951,0.6048046301,0.1261547673,1.5692921693,4,,1.4260672992,1.365706025,0.2903851534,1.1474874909,1.825369656,4,,0.0092488662,0.0083426213,0.0065024269,0.0023027908,0.0180074313,4
29,30,,0.7293891817,0.6110548951,0.6048046301,0.1261547673,1.5692921693,4,,1.4260672992,1.365706025,0.2903851534,1.1474874909,1.825369656,4,,0.0092488662,0.0083426213,0.0065024269,0.0023027908,0.0180074313,4
30,31,,0.6614944587,0.6109762612,0.3998633164,0.2586927368,1.1653325755,4,,1.5431364173,1.3483401535,0.5482356759,1.1258738567,2.3499915054,4,,0.0089345558,0.0083830242,0.0035704628,0.005852,0.0131201748,4
31,32,,0.6614944587,0.6109762612,0.3998633164,0.2586927368,1.1653325755,4,,1.5431364173,1.3483401535,0.5482356759,1.1258738567,2.3499915054,4,,0.0089345558,0.0083830242,0.0035704628,0.005852,0.0131201748,4
32,33,,0.6614944587,0.6109762612,0.3998633164,0.2586927368,1.1653325755,4,,1.5431364173,1.3483401535,0.5482356759,1.1258738567,2.3499915054,4,,0.0089345558,0.0083830242,0.0035704628,0.005852,0.0131201748,4
